,Title,Location,Company,Salary,Description
0,Turkish Waiting Staff Required,London NW3,Chez Nous,,"We are currently in need of Turkish-speaking waiting staff at our well-established cafe/restaurant for both part-time and full-time work.
Experience not needed as training is provided.
Job Types: Full-time, Part-time"
1,Customer Service Agent Turkish speaking,London,Expert People Solutions,,"A leading i-Gaming company that offers localised gaming solutions globally to 3rd party businesses is looking for customer service agents to work with partners in the Turkish market.
Key Competencies
Proven experience of delivering customer excellence.
Good knowledge and use of everyday internet use.
Competence with MS Word and MS Excel as well as general use of MS Windows.
Excellent verbal communication skills in Turkish, a minimum of upper-intermediate level English use (both verbal and writing).
Key Responsibilities
Handle inbound and outbound contact from customers (phone, e-mail, live chat)
Teamwork skills
Transferring accurate information to customers with quality service and customer satisfaction.
Dedicated to resolving customers' issues or problems
Confident and ambitious on sales
If you would like more information regarding the Turkish Speaking Customer Support Agent role or to apply please submit your CV, all applicants will be treated in the strictest of confidence.
Job Type: Full-time
Salary: £18,000.00-£22,000.00 per year
Experience:
Sales: 1 year (Preferred)
Customer Service: 1 year (Preferred)
Language:
Turkish fluent (Required)"
2,Bar Staff,Milton Keynes MK9,OLIVE TREE TURKISH AND MEDITERRANEAN RESTAURANT AND BAR,,"Busy restaurant in the heart of Milton Keynes , looking for hard working individuals , who are passionate about their job, and giving exceptional service.
Job Type: Contract
Salary: £7.00-£12.00 per hour
Job Type: Contract
Salary: £7.00-£10.00 per hour
Additional pay:
Tips
Benefits:
Discounted or free food
Flexible schedule
On-site parking
Schedule:
Day shift
Monday to Friday
Night shift
Weekends
Work remotely:
No"
3,Turkish Speaking Office Assistant,London,Financial House,,"Financial House is a financial technology company that offers digital wallet, payment gateway, gift cards, and more services based on clients branding. Financial House offers to its EU-based clients international and SEPA banking services on an independent, non-competitive and transparent basis.
We are also FCA regulated and licensed in the UK and offer corresponded banking services and platforms for the Banks and FinTech’s internationally.
Our ISO 20022 Interface is connecting businesses technology platform directly to the Financial Houses core. We continuously develop new solutions to FinTech Industry and improve the customer experience with our products. No matter what size the business is, we thrive based on how well we serve to our clients' businesses. Our biggest asset is our talented team. We’re dedicated to supporting personal and career growth, connecting like-minded people and providing a memorable career. We celebrate diversity and welcome creativity. If you are willing to be a part of the innovative team that crafts remarkable experiences, then come and join us.
Job Duties:
· Organising meetings and managing databases
· Booking transport and accommodation
· Organising company events or conferences
· Ordering stationery, furniture and any office needs
· Dealing with correspondence, complaints and queries
· Preparing letters, presentations and reports
· Supervising and monitoring the work of administrative staff
· Managing office budgets
· Liaising with staff, suppliers and clients
· Delegating tasks to junior employees
· Organising induction programmes for new employees
· Ensuring that health and safety policies are up to date
· Using a range of software packages
· Attending meetings with senior management
· Some weekend work will be required for this role
· Coordinate and participate in office space planning, maintenance and renovations when necessary
· Supervise cleaning crew and cleanliness of office space
· Position includes the following duties:
· It is important that the candidate has strong communication skills in English and able to fluently speak Turkish
· Strong Excel skills
· Fast and accurate typist
· Can take full ownership of tasks
· Supremely organised and reliable
· Comfortable multitasking
· Demonstrable attention to detail
· Fast and accurate mental arithmetic
· Strong people skills
· Attention to details
What we offer:
- Working hours Monday to Friday between 08:30-18:30,
- After 2 months of hiring date we are offering Virgin Active Membership,
Job Types: Contract, Permanent
Schedule:
8 hour shift
Experience:
office assistant: 3 years (Required)"
4,M&A Analyst,London EC2V,the1 Advisers,,"Job description:
- Manage new business projects that involve research & analysis, tactics and contacting potential clients
- Manage live projects as needed
- Prepare materials for pitches
- Participate in strategy discussions
- Ad hoc research and different types of assignments as needed
Person specification:
- Web search
- Proven advanced Boolean search skills
- Proven research for new business
- Proven screening skills (analysing and screening companies according to different requirements)
- Excellent spoken and written English, good at writing clever emails
- Academic background in cultural/international relations, business & finance, law or life sciences preferred
- Additional languages preferred: German, Mandarin, French, Turkish, Greek (as many as possible)
- Degree level is required
- Mac user preferred
To apply please send your CV and a cover letter.
Job Types: Full-time, Contract, Permanent
Salary: £30,300.00 per year
Additional pay:
Bonus scheme
Benefits:
Sick pay
Work from home
Schedule:
Monday to Friday
Education:
Bachelor's (Required)
Work remotely:
Temporarily due to COVID-19"
5,Junior Compliance Analyst - Turkish Language,Abingdon,Elevate Services,,"Overview
Elevate is recruiting a Compliance Analyst who wil work with the bank to identify potential instances of market abuse and/or other regulatory violations by the screening of pre-selected electronic communication data and escalating as necessary. As part of our rapidly expanding business, you will have the opportunity to develop your career as a subject matter expert in the high growth area of compliance.
Responsibilities & Qualifications
You might be the right person if…
You are passionate about delivering first-class customer service.
You have excellent focus and high level of attention to detail.
You have an inquisitive mind.
You are interested or have prior experience of the legal and compliance subject matter, especially within a financial services setting.
You are a team player who works well within a collaborative environment.
You can work quickly and can handle large volumes of data and text.
Specifically, you will be:
Screening electronic communications quickly and effectively against client developed guidelines on market abuse and non-compliance.
Identifying and escalating potential instances of abuse.
Working with client teams to ensure the efficient escalation of relevant cases.
Providing reporting when necessary on the Communications Surveillance KPIs.
English and Turkish Language.
Skills for Success:
Fluency in a second language is a plus - especially German or Turkish.
High level of attention to detail.
Strong problem solving skills.
Proactive with minimal need for guidance.
Basic familiarity with regulatory environments surrounding electronic communication surveillance.
Basic familiarity with FCA regulations and application to financial services clients.
Strong analytical and decision-making skills.
Technical Skills:
Computer literate with good MS office skills. Finish
Qualifications and Experience:
Experience or a keen interest in eCommunications Surveillance, trade surveillance, market abuse or compliance within financial services setting.
Bachelor degree required.
Company Information
Elevate is the law company. We provide consulting, technology and services to law departments and law firms. Our global team of lawyers, engineers, consultants and business experts improve efficiency, quality and outcomes for customers worldwide

Learn more at https://elevateservices.com
See more jobs at https://elevateservices.jobs.net/
Follow us on social media
https://www.linkedin.com/company/elevate-services
https://twitter.com/ElevateServices"
6,Turkish Language Talent Programme,Birmingham,Government Communications Headquarters (GCHQ),,"If you’re studying for a degree in Turkish, GCHQ and MI5 two of the UK’s intelligence agencies, are offering you an exciting opportunity to join their Language Talent Programme.

THE ROLE

GCHQ & MI5 employ highly skilled Language Analysts in a variety of exciting and rewarding roles. The Language Talent Programme is an 11-week paid scheme for language interns at either GCHQ’s headquarters in Cheltenham (Mandarin, Turkish and Persian) or MI5’s headquarters in London (Mandarin only). Regardless of agency or location, you’ll be a fully integrated member of an analysis team, using your language skills to contribute directly to our work and really make a difference.

Your language skills and cultural knowledge will be central to all the work you do while on your placement with us. The precise nature of the role will depend on the agency, but you’ll work on a project which could involve analysing, transcribing and translating audio or textual material (which may be technical or specialist in nature), assessing data for intelligence value using bespoke analytical tools and techniques, drafting intelligence reports, conducting research using a variety of tools, providing investigators and agent handlers with contextual cultural knowledge, delivering briefings to the team and liaising with customers and partners. Your skills will have a genuine impact on the team’s work and help enable the team and organisation to fulfill its goals.

At the end of the scheme, you’ll have the opportunity to sit the graduate-entry language and analysis tests. If you pass these tests and a competency interview, we’ll offer you a permanent position as a Language Analyst, subject to there being vacancies at that time.

REQUIREMENTS

We’re looking for talented, flexible and committed individuals from all backgrounds. You’ll currently be an undergraduate in your final year of studying Turkish. Ideally, you’ll have completed your year abroad (where possible; we understand COVID-19 may have curtailed this) and have, or be on course to develop, the high-level language skills we need. You’ll have an interest in using your language in your career and be keen to develop your skills. For roles at GCHQ, although you may not already have a technical background, you’ll be open to learning new technical skills to complement your language ability.

GCHQ & MI5 can offer long and rewarding careers which combine these language, technical and analytical skills, and we’re looking to select participants for this programme who have an aspiration to work with us long term.

TRAINING AND DEVELOPMENT

GCHQ and MI5 have an inclusive and supportive working environment that’s designed to encourage open minds and attitudes. We value and nurture talent and are committed to helping you fulfill your potential. You’ll receive a comprehensive training and development package in both language and analysis that will include classroom-based learning and hands-on training, which will enable you to grow your skills and perform to the best of your abilities.

Throughout your internship and career, you’ll be supported by trained professionals and language mentors within our collaborative learning environment. You’ll have genuine responsibility from an early stage while still maintaining a healthy work-life balance.

ABOUT GCHQ

GCHQ works to keep the UK safe and secure in the challenging environment of modern communications. The online threats that the UK faces every day are many and varied, and cyber criminals, terrorists, hackers, fraudsters and organised criminal gangs are all using ever more sophisticated technology. These threats to UK national security come in a multitude of different languages and GCHQ’s Language Analysts use their expert language skills to piece together snippets of information gathered from a variety of digital communications sources.

EQUAL OPPORTUNITIES STATEMENT

GCHQ and MI5 are Disability Confident and Equal Opportunities employers, committed to reflecting the society we protect. Our recruitment process is fair, transparent and based on merit. We particularly welcome applications from diverse and under-represented groups.

SALARY

While on the Language Talent Programme, you will receive a salary of £25,040 per annum at GCHQ, pro-rata over 11 weeks (includes a concessionary payment).

Applicants who pass the end-of-programme graduate-entry language and analysis tests and assessment centre, and who are made and accept an offer of employment at GCHQ, will receive a starting salary of £30,831 (includes a concessionary payment). This would rise to £33,831 upon successful completion of your 6-month probation period.

LOCATION

The placements will be in Cheltenham.

SELECTION PROCESS

To be eligible to apply for this position you must meet our nationality, residency and security requirements. Full details of these requirements can be found on the GCHQ and MI5 Recruitment websites.

Be prepared to dedicate 60-90 minutes towards completing this application. We’re conscious this might be more time than you expected, so our system will allow you to save your application at any time and come back to it later. But remember to submit your full application before the closing date of 19 October 2020.

If you meet the minimum eligibility and application sift criteria, the next steps of this selection process will be:

First stage - Language tests and drug test (will be held week commencing 9 November 2020*)
Second stage - Assessment centre, comprising an interview and a preliminary vetting chat (will be held week commencing 30 November 2020*)

We are planning our recruitment activity in uncertain and quickly changing times. We reserve the right to postpone these dates due to the ongoing situation with Covid-19.

Face-to-face language testing (with social-distancing in a COVID-secure environment) will be held in Gloucestershire (and potentially London) with the second stage of assessment taking place virtually.

If you are successful in the selection process, you’ll receive a job offer, conditional upon you completing our developed vetting (DV) process that enables you to obtain the level of security clearance required to undertake this role.

Please be aware that we withhold the right to bring forward the closing date for this role from the original closing date once a certain number of applications have been received. Please be mindful of this and submit your application at your earliest convenience to avoid disappointment."
7,International Expansion Executive,London,Getir UK Limited,,"Company description
Getir is a super-fast delivery app that specialises in delivering grocery items.
Job description
About the role
Getir is a technology company that joins the worlds of mobile technology and logistics, providing unprecedented solutions to the delivery of goods in urban areas. Through its mobile app, it offers an on-demand ""ultrafast"" delivery service for grocery items.
Key Duties and Responsibilities
The day to day duties and responsibilities include:
Coordinate with third parties regarding warehouse real estate.
Analyze predicted data to find the most suitable warehouses for the Getir UK operations.
Oversee and manage the process of setting up warehouses, working closely with related departments from HQ.
Geographical analysis of targeted boroughs.
Follow up on warehouse KPIs and develop and execute innovative solutions to further develop our local warehousing systems, leading to operational efficiency.
Analyse riders' metrics to execute new initiatives to ensure high operational efficiency and low turnover.
Develop a deep understanding of Getir UK’s rider base and devise and implement creative strategies to ensure high rider engagement.
Key Skills, Qualifications & Experience required:
The candidate must meet the following essential requirements:
High-level analytical skills and spreadsheet proficiency.
Bachelor's degree from a good university.
Demonstrated ability to translate sophisticated data into meaningful insights to tackle problems and improve operational efficiency.
Significant experience and proven success in working in operational development within a technology company, especially in retail and online delivery services.
Significant work experience and proven ability in roles within a technology company in data analysis, process improvements, creative problem solving, and cross-functional collaboration.
Proven success in product development and innovation within a technology company.
High-level communication skills, especially in regards to communicating with individuals in the real estate industry.
Fluency in written and spoken English.
Turkish language proficiency is desirable to better communicate with HQ in Turkey.
Posting date: 02/09/2020
Application deadline: 01/10/2020
Job Types: Full-time, Permanent
Salary: £40,000.00-£60,000.00 per year
Benefits:
Casual dress
Employee discount
Private medical insurance
Sick pay
Schedule:
Monday to Friday
Work remotely:
No"
8,TURKISH SPEAKING Customer Service Representative,Liverpool Street Station,New Moorgate London Limited,,"Job Description
We have an exciting opportunity for a experienced Customer Service Agents, with a background in dealing with a wide range of customer enquiries, to join our busy and growing team, encompassing online sales and marketing, customer oriented with the ability to convince and develop sales over the phone and also utilising communication software products mainly for Turkey.
We are looking for candidates with:
Proven experience of delivering customer excellence.
Good knowledge and use of everyday internet use.
Competence with MS Word and MS Excel as well as general use of MS Windows.
Analytical thinker who is comfortable with communication, sensitive with time management and high motivation.
Able to build and maintain strong, long-lasting customer relations.
Key Responsibilities;
Flexibility to work evening and weekend shifts on a regular basis.
Provide assistance to clients by email, live-chat and phone.
Teamwork skills Transferring accurate information to customers with quality service and customer satisfaction.
Dedicated to resolving customers issues or problems
Confident and ambitious on sales
Job Types: Full-time, Contract, Permanent
Benefits:
Gym Membership"
9,Simultaneous interpreter,London,التلفزيون العربي,,"Department
News & Programs

Reporting to
Output Editor

Unit
Output

Job title
Simultaneous interpreter

Location
London

JOB DESCRIPTION
Purpose:
Alaraby is looking for a trilingual simultaneous interpreter/text translator working predominately as part of our TV team. Shift work may be required which could include nights, weekends and public holidays.
Main Duties & Responsibilities
A simultaneous interpreter is required to carry out some or all of the following duties in the relevant languages.
To interpret simultaneously a range of material including: official speeches, interviews with contributors, discussion programmes for TV news bulletins, news/current affairs and other programmes, under the direction of the TV Editors and Senior Broadcast Journalists.
To perform translations in at least three languages - English/Arabic-Arabic/English and a third language preferably: French-German-Spanish- Russian- Turkish - in front of the microphone, live or in recording sessions.
To translate, adapt, voice and record material including packages and scripts for broadcasting.
To translate text material on occasion as required, including online scripts, programme transcripts and press releases around special seasons or events.
To shorten packages or scripts for broadcasting and online publication under editorial guidance.
To use the full range of programme resources available.
Proof reading and writing news.
Essential Skills:
A proven professional knowledge and experience in at least 3 languages – Arabic, English and a third language: Preferably one of the following – German, Spanish, Russian, Turkish - including complete comprehension of the spoken and written languages. It would be preferable for the translator to be an Arabic speaker.
A thorough and up to date knowledge and understanding of news and current affairs in the Middle East North Africa region and internationally.
High level of concentration, discipline and proven ability to deliver accuracy in conveying the translation clearly from one language to the other during discussion programmes and other output.
To work and deliver high-quality professional interpretation/translation under pressure and meeting deadlines.
A good general knowledge of contemporary political, economic, social and scientific issues.
Good computer/keyboard and IT skills and a good knowledge of useful digital and internet sources.
Competencies:
Professional Judgement - demonstrates accuracy in conveying ideas and expressions in a debate environment.
Planning and organisation - able to think ahead in order to establish an efficient and appropriate course of action for self and others. Prioritises and plans activities taking into account all the relevant issues and factors such as deadlines, staffing and resources.
Communication - able to get one’s message understood clearly by adopting a range of styles, tools and techniques appropriate to the audience and the nature of the information.
Influencing and persuading - able to present sound and well-reasoned arguments to convince others. Can draw from a range of strategies to persuade people in a way that results in agreement or behaviour change.
Managing relationships and team working - able to build and maintain effective working relationships with a range of people. Works co-operatively with others to be part of a team, as opposed to working separately or competitively.
Resilience - manages personal effectiveness by managing emotions in the face of pressure, setbacks or when dealing with provocative situations. Demonstrates an approach to work that is characterised by commitment, motivation and energy.
Flexibility - adapts and works effectively with a variety of situations, individuals or groups. Able to understand and appreciate different and opposing perspectives on an issue, to adapt an approach as the requirements of a situation change, and to change or easily accept changes in one’s own organisation or job requirements.
Requirements:
2 years or more experience in relevant field.
Bachelor’s degree in relevant field.
Fluent in Arabic, English and a third language."
